name,init_time,warm_up,graph_info,tf_git_version,tf_version
CenterNet_HourGlass104_512x512,626.5795228481293,28.05936360359192,,unknown,2.4.0
CenterNet_HourGlass104_Keypoints_512x512,636.239325761795,30.497526168823242,,unknown,2.4.0
CenterNet_HourGlass104_1024x1024,619.0261068344116,91.72084403038025,,unknown,2.4.0
CenterNet_HourGlass104_Keypoints_1024x1024,644.7664980888367,101.13575601577759,,unknown,2.4.0
CenterNet_Resnet50_V1_FPN_512x512,166.17130088806152,5.546842813491821,,unknown,2.4.0
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,161.6341962814331,6.204385042190552,,unknown,2.4.0
CenterNet_Resnet101_V1_FPN_512x512,297.552472114563,9.20985198020935,,unknown,2.4.0
CenterNet_Resnet50_V2_512x512,154.41020131111145,4.8949196338653564,,unknown,2.4.0
CenterNet_Resnet50_V2_Keypoints_512x512,158.39975118637085,6.230664253234863,,unknown,2.4.0
EfficientDet_D0_512x512,328.1814625263214,13.275649309158325,,unknown,2.4.0
EfficientDet_D1_640x640,445.4764516353607,16.12521719932556,,unknown,2.4.0
EfficientDet_D2_768x768,461.9926884174347,18.122172594070435,,unknown,2.4.0
EfficientDet_D3_896x896,521.7215085029602,25.52300477027893,,unknown,2.4.0
EfficientDet_D4_1024x1024,638.8465647697449,34.47974872589111,,unknown,2.4.0
EfficientDet_D5_1280x1280,720.2475922107697,54.32778024673462,,unknown,2.4.0
EfficientDet_D6_1280x1280,800.8585295677185,81.5775876045227,,unknown,2.4.0
EfficientDet_D7_1536x1536,816.7724187374115,92.50103902816772,,unknown,2.4.0
SSD_MobileNet_v2_320x320,161.6129810810089,8.3748939037323,,unknown,2.4.0
SSD_MobileNet_V1_FPN_640x640,116.28766107559204,13.937291145324707,,unknown,2.4.0
SSD_MobileNet_V2_FPNLite_320x320,153.76318669319153,9.44431757926941,,unknown,2.4.0
SSD_MobileNet_V2_FPNLite_640x640,155.65337777137756,10.328825235366821,,unknown,2.4.0
SSD_ResNet50_V1_FPN_640x640_(RetinaNet50),166.02851724624634,17.94565200805664,,unknown,2.4.0
SSD_ResNet50_V1_FPN_1024x1024_(RetinaNet50),171.60042548179626,29.866680145263672,,unknown,2.4.0
SSD_ResNet101_V1_FPN_640x640_(RetinaNet101),269.4294559955597,22.25609588623047,,unknown,2.4.0
SSD_ResNet101_V1_FPN_1024x1024_(RetinaNet101),274.7550175189972,38.153061628341675,,unknown,2.4.0
SSD_ResNet152_V1_FPN_640x640_(RetinaNet152),371.6786632537842,26.517107009887695,,unknown,2.4.0
SSD_ResNet152_V1_FPN_1024x1024_(RetinaNet152),381.47849011421204,46.25952124595642,,unknown,2.4.0
Faster_R-CNN_ResNet50_V1_640x640,113.04105567932129,22.123846292495728,,unknown,2.4.0
Faster_R-CNN_ResNet50_V1_1024x1024,107.40371370315552,27.272459745407104,,unknown,2.4.0
Faster_R-CNN_ResNet50_V1_800x1333,105.24893426895142,30.11333727836609,,unknown,2.4.0
Faster_R-CNN_ResNet101_V1_640x640,182.23411464691162,26.0779287815094,,unknown,2.4.0
Faster_R-CNN_ResNet101_V1_1024x1024,173.1723494529724,35.31890559196472,,unknown,2.4.0
Faster_R-CNN_ResNet101_V1_800x1333,175.583824634552,42.74692416191101,,unknown,2.4.0
Faster_R-CNN_ResNet152_V1_640x640,242.2694079875946,30.32775115966797,,unknown,2.4.0
Faster_R-CNN_ResNet152_V1_1024x1024,243.0798623561859,43.39137578010559,,unknown,2.4.0
Faster_R-CNN_ResNet152_V1_800x1333,240.83349227905273,56.10527586936951,,unknown,2.4.0
Faster_R-CNN_Inception_ResNet_V2_640x640,332.3166205883026,93.61744523048401,,unknown,2.4.0
Faster_R-CNN_Inception_ResNet_V2_1024x1024,340.96854734420776,103.64087390899658,,unknown,2.4.0
Mask_R-CNN_Inception_ResNet_V2_1024x1024,344.4361436367035,153.8391604423523,,unknown,2.4.0
